,Price(EUR),Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor
60,172200,Bulevar Oslobođenja,4,centralno grejanje,polunamešteno,ima lift (1),"telefon, internet, interfon, klima",88,uknjiženo,novo,useljivo,1992,4/7
61,58710,Telep,2.5,TA peć,polunamešteno,ima lift (1),"telefon, internet, interfon, klima",57,uknjiženo,novo,useljivo,2022,visoko
62,145200,Podbara,3,grejanje na gas,polunamešteno,ima lift (1),"telefon, internet, interfon, klima",61,uknjiženo,novo,useljivo,2017,1/4
63,130000,Železnička stanica,3,centralno grejanje,polunamešteno,ima lift (1),"telefon, internet, interfon, klima",72,uknjiženo,novo,useljivo,1972,visoko
64,91770,Salajka,2.5,grejanje na gas,polunamešteno,ima lift (1),"telefon, internet, interfon, klima",54,uknjiženo,novo,useljivo,2022,visoko
65,126700,Železnička stanica,3,centralno grejanje,polunamešteno,ima lift (1),"telefon, internet, interfon, klima",64,uknjiženo,novo,useljivo,2014,1/6
66,139000,Grbavica,2.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, internet, interfon, klima",56,uknjiženo,novo,useljivo,2008,4/7
67,1,Grbavica,4,centralno grejanje,polunamešteno,ima lift (1),"telefon, internet, interfon, klima",145,uknjiženo,novo,useljivo,2010,5/5
68,374000,Bulevar Evrope,5,grejanje na gas,polunamešteno,ima lift (1),"telefon, internet, interfon, klima",158,uknjiženo,novo,useljivo,2021,2/2
69,117800,Sajkaska,3.5,grejanje na gas,prazno,ima lift (1),"telefon, internet, interfon, klima",65,nije uknjiženo,u izgradnji,useljivo,2020,1/2
70,113300,Ilije Bircanina,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",59,uknjiženo,uobičajeno stanje,useljivo,2000,1/5
71,87550,Kolo Srpskih Sestara,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",39,uknjiženo,uobičajeno stanje,useljivo,2000,visoko
72,61800,Stanoja Stanojevica,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",28,uknjiženo,uobičajeno stanje,useljivo,2010,visoko
73,76000,Bulevar Oslobođenja,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",41,uknjiženo,uobičajeno stanje,useljivo,2006,3/7
74,108200,Novi Sad - Centar,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",35,uknjiženo,u izgradnji,useljivo,2006,4/5
75,56000,Novi Sad - Centar,0.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",21,uknjiženo,uobičajeno stanje,useljivo,2006,2/4
76,206000,Kej,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",78,uknjiženo,uobičajeno stanje,useljivo,1900,2/4
77,242250,Bulevar Evrope,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",112,uknjiženo,u izgradnji,useljivo,2021,5/7
78,101420,Veternička Rampa,3.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",70,uknjiženo,novo,useljivo,2022,2/2
79,149350,Rotkvarija,3,centralno grejanje,prazno,ima lift (1),Kanalizacija,66,uknjiženo,novo,useljivo,2022,3/6
80,126700,Avijatičarsko Naselje,3,centralno grejanje,polunamešteno,ima lift (1),"frižider, šporet, Kanalizacija",87,uknjiženo,renovirano,useljivo,2022,3.
81,82400,Nova Detelinara,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",38,uknjiženo,renovirano,useljivo,2022,4/6
82,56900,Jevrejska,0.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",24,uknjiženo,uobičajeno stanje,useljivo,2022,1/1
83,81600,Jevrejska,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",36,uknjiženo,uobičajeno stanje,useljivo,2022,1/1
84,591000,Spens,6.5,centralno grejanje,prazno,ima lift (1),"telefon, interfon, klima",302,uknjiženo,novo,useljivo,2022,4/5
85,711000,Bulevar Evrope,3,centralno grejanje,prazno,ima lift (1),"telefon, interfon, klima",230,uknjiženo,novo,useljivo,2022,11/12
86,82500,Alaska 11,2.5,podno grejanje,prazno,ima lift (1),"kablovska, video nadzor, klima, centralna klima, ventilacija",50,nije uknjiženo,u izgradnji,useljivo,2020,1/2
87,149350,Liman 4,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",58,uknjiženo,u izgradnji,useljivo,2020,1/5
88,100950,Liman 3,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon",55,uknjiženo,u izgradnji,useljivo,2020,6.
89,118450,Liman 3,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon",57,uknjiženo,u izgradnji,useljivo,2020,4.
90,115350,Banatić,3,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",77,uknjiženo,u izgradnji,useljivo,2020,3/8
91,111240,Bulevar Oslobođenja,2.5,centralno grejanje,prazno,ima lift (1),telefon,60,uknjiženo,u izgradnji,useljivo,2020,visoko
92,157000,Sajmište,3,centralno grejanje,prazno,ima lift (1),telefon,68,uknjiženo,novo,useljivo,2020,1/5
93,113300,Detelinara,2.5,centralno grejanje,polunamešteno,ima lift (1),Kanalizacija,59,uknjiženo,novo,useljivo,2020,1/5
94,69000,Nova Detelinara,0.5,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, veš mašina, frižider, šporet, ležaj, Kanalizacija",26,uknjiženo,novo,useljivo,2020,3/5
95,119000,Novo Naselje,2.5,centralno grejanje,polunamešteno,ima lift (1),"kablovska, internet, interfon, frižider, šporet, Kanalizacija",65,uknjiženo,novo,useljivo,2020,visoko
96,78280,Sajmište,1.5,centralno grejanje,prazno,ima lift (1),"kablovska, internet, interfon, frižider, šporet, Kanalizacija",42,uknjiženo,novo,useljivo,2020,1/5
97,2050,Orlovica Pavla,1.5,grejanje na gas,prazno,ima lift (1),"kablovska, internet, interfon, frižider, šporet, Kanalizacija",40,uknjiženo,u izgradnji,useljivo,2020,1/5
98,113300,"PODBARA, NOVI SAD",2,centralno grejanje,prazno,ima lift (1),"kablovska, internet, interfon, frižider, šporet, Kanalizacija",47,uknjiženo,u izgradnji,useljivo,2020,3/4
99,61800,Futoški put,3,centralno grejanje,prazno,ima lift (1),"kablovska, internet, interfon, frižider, šporet, Kanalizacija",48,uknjiženo,uobičajeno stanje,useljivo,2020,3/4
100,131840,Nova Detelinara,3,podno grejanje,namešteno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",64,uknjiženo,novo,useljivo,2020,1/5
101,97965,Veternik,3.5,podno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",76,uknjiženo,novo,useljivo,2020,1/2
102,135960,Podbara,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",68,uknjiženo,novo,useljivo,2020,1.
103,169950,Liman 3,3,centralno grejanje,polunamešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, sudo mašina, frižider, šporet, Kanalizacija",72,uknjiženo,renovirano,useljivo,2020,1/9
104,97850,Bulevar Oslobođenja,1.5,centralno grejanje,polunamešteno,ima lift (1),"kablovska, internet, interfon, TV, klima, sudo mašina, frižider, šporet, Kanalizacija",42,uknjiženo,uobičajeno stanje,useljivo,2020,4/5
105,69000,Sajmište,1.5,centralno grejanje,polunamešteno,ima lift (1),"kablovska, internet, interfon, klima, Kanalizacija",37,uknjiženo,uobičajeno stanje,useljivo,2020,5/6
106,87550,Grbavica,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, TV, frižider, šporet, ležaj, Kanalizacija",39,uknjiženo,novo,useljivo,2020,visoko
107,87000,Detelinara,2.5,centralno grejanje,prazno,ima lift (1),Kanalizacija,50,uknjiženo,novo,useljivo,2020,visoko
108,85000,Socijalno,1.5,centralno grejanje,prazno,ima lift (1),Kanalizacija,34,uknjiženo,uobičajeno stanje,useljivo,2010,1/6
109,123600,Grbavica,4,centralno grejanje,prazno,ima lift (1),internet,78,uknjiženo,uobičajeno stanje,useljivo,2010,1.
110,89000,Heroja Pinkija,2.5,grejanje na gas,namešteno,ima lift (1),"kablovska, klima, kuhinjski elementi, frižider, rerna, šporet, plakar",69,uknjiženo,novo,useljivo,2010,prizemlje/2
111,87000,Socijalno,2,centralno grejanje,prazno,ima lift (1),"kablovska, klima, kuhinjski elementi, frižider, rerna, šporet, plakar",52,uknjiženo,potrebno renoviranje,useljivo,2010,prizemlje/1
112,83900,Jevrejska,1.5,centralno grejanje,prazno,ima lift (1),"kablovska, klima, kuhinjski elementi, frižider, rerna, šporet, plakar",37,uknjiženo,uobičajeno stanje,useljivo,2010,1/1
113,56900,Jevrejska,0.5,centralno grejanje,prazno,ima lift (1),"kablovska, klima, kuhinjski elementi, frižider, rerna, šporet, plakar",24,uknjiženo,uobičajeno stanje,useljivo,2010,1/1
114,99700,Petrovaradin,2,centralno grejanje,prazno,ima lift (1),"kablovska, klima, kuhinjski elementi, frižider, rerna, šporet, plakar",40,uknjiženo,uobičajeno stanje,useljivo,2010,prizemlje
115,145000,Đorđa kodera 1,3,centralno grejanje,prazno,ima lift (2),"telefon, kablovska, video nadzor, TV, klima, centralna klima",66,u procesu uknjižavanja,novo,useljivo,2010,3/6
116,61845,Veternik,2.5,podno grejanje,prazno,ima lift (2),"telefon, kablovska, video nadzor, TV, klima, centralna klima",41,u procesu uknjižavanja,novo,useljivo,2010,1/2
117,101000,Lasla Gala,2,centralno grejanje,prazno,ima lift (1),video nadzor,49,uknjiženo,uobičajeno stanje,useljivo,2010,5/6
118,225000,Spens,3,centralno grejanje,prazno,ima lift (1),video nadzor,81,uknjiženo,u izgradnji,useljivo,2010,1/5
119,98880,Balzakova,1.5,centralno grejanje,prazno,ima lift (1),video nadzor,55,uknjiženo,novo,useljivo,2010,1/5
120,42000,Bore Prodanovića,0.5,grejanje na struju,prazno,ima lift (1),video nadzor,21,uknjiženo,uobičajeno stanje,useljivo,2010,1/5
121,114300,Pariske Komune,2.5,centralno grejanje,prazno,ima lift (1),video nadzor,66,uknjiženo,uobičajeno stanje,useljivo,2010,2/8
122,106700,Gagarinova,3,centralno grejanje,prazno,ima lift (1),video nadzor,69,uknjiženo,uobičajeno stanje,useljivo,2010,2/8
123,231750,Stari Grad,2.5,centralno grejanje,polunamešteno,ima lift (1),klima,75,uknjiženo,uobičajeno stanje,useljivo,2010,5/11
124,57200,Radoja Domanovića,1.5,grejanje na gas,prazno,ima lift (1),"telefon, interfon",27,uknjiženo,novo,useljivo,2010,prizemlje
125,117000,Novi Sad - Centar,3,centralno grejanje,prazno,ima lift (1),"telefon, interfon",60,uknjiženo,novo,useljivo,2010,2/4
126,92000,Novi Sad - Centar,1.5,centralno grejanje,prazno,ima lift (1),"telefon, interfon",46,uknjiženo,novo,useljivo,2010,2/4
127,84460,Novi Sad - Centar,1.5,centralno grejanje,prazno,ima lift (1),"telefon, interfon",41,uknjiženo,novo,useljivo,2010,1/4
128,325000,Gogoljeva,3,centralno grejanje,namešteno,ima lift (1),"telefon, klima",145,uknjiženo,novo,useljivo,2010,5.
129,140000,Grbavica,3,centralno grejanje,namešteno,ima lift (1),"telefon, klima",65,uknjiženo,novo,useljivo,2010,1/3
130,87550,Centar,1,centralno grejanje,namešteno,ima lift (1),"telefon, klima",29,uknjiženo,novo,useljivo,2010,4/5
131,80000,Bulevar Oslobođenja,2,centralno grejanje,prazno,ima lift (1),"telefon, klima",42,uknjiženo,uobičajeno stanje,useljivo,2010,3/3
132,113300,Kej,2,centralno grejanje,prazno,ima lift (1),"telefon, klima",55,uknjiženo,uobičajeno stanje,useljivo,2010,2/2
133,153850,Dr Svetislava Kasapinovića,2,grejanje na gas,namešteno,ima lift (1),"telefon, klima",44,uknjiženo,uobičajeno stanje,useljivo,2010,4/6
134,76000,Socijalno,3,centralno grejanje,prazno,ima lift (1),kablovska,76,uknjiženo,novo,useljivo,2010,suteren/5
135,140000,Nova Detelinara,4.5,centralno grejanje,prazno,ima lift (1),kablovska,98,uknjiženo,uobičajeno stanje,useljivo,2011,3/3
136,127720,Železnička stanica,3,centralno grejanje,namešteno,ima lift (1),kablovska,80,uknjiženo,renovirano,useljivo,2011,8/15
137,216300,Bulevar Oslobođenja,3.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, klima",91,uknjiženo,renovirano,useljivo,2011,3/11
138,107120,Danila KIša,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",52,uknjiženo,renovirano,useljivo,2010,prizemlje/5
139,231750,Gogoljeva,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",107,uknjiženo,renovirano,useljivo,2010,4/5
140,178950,Kej Žrtava Racije,3.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",73,uknjiženo,renovirano,useljivo,2010,1/3
141,127720,Branka Bajića,2,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, kuhinjski elementi",45,uknjiženo,novo,useljivo,2010,3/3
142,71100,Bulevar Evrope,0.5,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska, kuhinjski elementi",28,uknjiženo,novo,useljivo,2010,3/5
143,113300,Nova Detelinara,2.5,centralno grejanje,prazno,ima lift (1),"kablovska, internet",59,uknjiženo,novo,useljivo,2005,1/5
144,199400,Bulevar Patrijarha Pavla (Somborski Bulevar),3.5,podno grejanje,prazno,ima lift (1),klima,88,nije uknjiženo,u izgradnji,useljivo,2020,1/2
145,123600,Gundulićeva,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",43,u procesu uknjižavanja,novo,useljivo,2020,3/5
146,74160,Socijalno,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",27,uknjiženo,uobičajeno stanje,useljivo,2020,1/3
147,66950,Bulevar Patrijarha Pavla (Somborski Bulevar),0.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, kuhinjski elementi",24,uknjiženo,renovirano,useljivo,2010,3/4
148,66950,Nova Detelinara,0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, kuhinjski elementi",25,uknjiženo,renovirano,useljivo,2010,visoko
149,57680,Bulevar Patrijarha Pavla (Somborski Bulevar),0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, kuhinjski elementi",25,uknjiženo,renovirano,useljivo,2010,2/5
150,123000,Milete Protića 1,3,centralno grejanje,prazno,ima lift (1),"kablovska, klima, kuhinjski elementi, sudo mašina, frižider, zamrzivač, mikrotalasna rerna, rerna, šporet, plakar",88,uknjiženo,renovirano,useljivo,1980,3/3
151,164800,Novi Sad - Centar,3,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, TV, sudo mašina, frižider, šporet, ležaj",94,uknjiženo,renovirano,useljivo,1980,3.
152,86520,Novo Naselje,1.5,centralno grejanje,namešteno,ima lift (1),klima,40,uknjiženo,uobičajeno stanje,useljivo,1980,visoko
153,129200,Podbara,3,centralno grejanje,namešteno,ima lift (1),klima,76,uknjiženo,uobičajeno stanje,useljivo,1980,3/4
154,91000,Detelinara,2.5,centralno grejanje,prazno,ima lift (1),"telefon, interfon",47,uknjiženo,uobičajeno stanje,useljivo,1980,2/4
155,96730,Adice,3.5,podno grejanje,prazno,ima lift (1),Kanalizacija,63,uknjiženo,novo,useljivo,1980,prizemlje/2
156,166600,Grbavica,4.5,podno grejanje,prazno,ima lift (1),Kanalizacija,117,uknjiženo,uobičajeno stanje,useljivo,1980,6/6
157,231700,Grbavica,3.5,podno grejanje,prazno,ima lift (1),Kanalizacija,107,uknjiženo,uobičajeno stanje,useljivo,1980,4/5
158,220600,Grbavica,5,podno grejanje,prazno,ima lift (1),Kanalizacija,157,uknjiženo,uobičajeno stanje,useljivo,1980,5/5
159,128750,Liman 1,2,podno grejanje,prazno,ima lift (1),Kanalizacija,52,uknjiženo,uobičajeno stanje,useljivo,1980,7/7
160,87550,Grbavica,2,centralno grejanje,prazno,ima lift (1),Kanalizacija,39,uknjiženo,uobičajeno stanje,useljivo,2010,prizemlje/4
161,113300,Nova Detelinara,2.5,centralno grejanje,prazno,ima lift (1),Kanalizacija,59,uknjiženo,uobičajeno stanje,useljivo,2006,1/5
162,87550,Grbavica,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon",39,uknjiženo,uobičajeno stanje,useljivo,2006,visoko
163,125660,Podbara,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon",61,u procesu uknjižavanja,renovirano,useljivo,2006,2/3
164,205800,Novi Sad - Centar,4,centralno grejanje,prazno,ima lift (1),"kablovska, internet, klima",148,uknjiženo,novo,useljivo,2006,4/5
165,183340,Bulevar Oslobođenja,3,centralno grejanje,prazno,ima lift (3),"kablovska, internet, klima",89,uknjiženo,novo,useljivo,2019,2.
166,118450,Novo Naselje,2,centralno grejanje,prazno,ima lift (1),"kablovska, internet, klima",64,uknjiženo,uobičajeno stanje,useljivo,2019,2/4
167,144200,Podbara,4,centralno grejanje,prazno,ima lift (1),"kablovska, internet, klima",99,uknjiženo,uobičajeno stanje,useljivo,2012,4/5
168,56650,Adice,1.5,grejanje na gas,namešteno,ima lift (1),"kablovska, internet, klima",35,uknjiženo,novo,useljivo,2012,4/5
