,Price(EUR),Location,Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor
60,72100,Podbara,Podbara,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, klima",35,uknjiženo,u izgradnji,useljivo,2022,2.
61,86210,Klisa,Klisa,3.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, klima",62,uknjiženo,u izgradnji,useljivo,2022,1/2
62,46350,Telep,Telep,0.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, klima",23,uknjiženo,uobičajeno stanje,useljivo,2006,prizemlje/3
63,143685,Novo Naselje,Novo Naselje,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, klima",90,uknjiženo,uobičajeno stanje,useljivo,1996,3/4
64,133900, Detelinara,Nova Detelinara,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, klima",82,uknjiženo,uobičajeno stanje,useljivo,2006,5/5
65,185000, Liman,Liman 4,3,centralno grejanje,namešteno,ima lift (1),"kablovska, internet, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",77,uknjiženo,uobičajeno stanje,useljivo,2006,3/5
66,64000,Jugovićevo,Jugovićevo,1,grejanje na gas,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",42,uknjiženo,novo,useljivo,2010,visoko
67,104800,Grbavica,"GRBAVICA, NOVI SAD",2,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",53,uknjiženo,novo,useljivo,2010,4/5
68,50980,Petrovaradin,"BLOK 8, PETROVARADIN",0.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",24,uknjiženo,novo,useljivo,2010,3/5
69,113300,Podbara,"PODBARA, NOVI SAD",2,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",47,uknjiženo,novo,useljivo,2010,3/4
70,128550,Podbara,"PODBARA, NOVI SAD",2.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",78,uknjiženo,novo,useljivo,2010,4/6
71,101000,Telep,"TELEP, NOVI SAD",2.5,grejanje na gas,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",56,uknjiženo,novo,useljivo,2010,1/4
72,87500,Telep,"TELEP, NOVI SAD",2,grejanje na gas,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",61,uknjiženo,novo,useljivo,2010,3/3
73,97850,Grbavica,"GRBAVICA, NOVI SAD",2,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",52,uknjiženo,novo,useljivo,2010,5/6
74,75000,Telep,"TELEP, NOVI SAD",1.5,grejanje na gas,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",38,uknjiženo,novo,useljivo,2010,2/3
75,61800, Adice,"LIPOV GAJ, NOVI SAD",2.5,grejanje na gas,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",42,uknjiženo,novo,useljivo,2010,prizemlje/1
76,72400,Bulevar Oslobođenja,"BULEVAR, NOVI SAD",1.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",37,uknjiženo,novo,useljivo,2010,visoko
77,124220,Sajmište,"SAJAM, NOVI SAD",3,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",67,uknjiženo,novo,useljivo,2010,1/6
78,103000,Detelinara,"DETELINARA, NOVI SAD",3,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",66,uknjiženo,novo,useljivo,2010,2/4
79,236900, Adamovićevo Naselje,"CARA DUSANA, NOVI SAD",3,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska, internet, video nadzor",106,uknjiženo,novo,useljivo,2010,6/7
80,87550,Grbavica,Miše Dimitrijevića,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",52,uknjiženo,potrebno renoviranje,useljivo,2010,6/7
81,206000, Petrovaradin,Blok 8,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",78,uknjiženo,uobičajeno stanje,useljivo,1900,2/4
82,280000,Bulevar Evrope,Bulevar Evrope,5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",177,uknjiženo,uobičajeno stanje,useljivo,1900,5/5
83,56900, Stari Grad,Jevrejska,0.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",24,uknjiženo,uobičajeno stanje,useljivo,1900,1/1
84,83900, Stari Grad,Jevrejska,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor",37,uknjiženo,uobičajeno stanje,useljivo,1900,1/1
