,Price(EUR),Location,Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor
292,118450,Grbavica,Grbavica,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",75,uknjiženo,uobičajeno stanje,useljivo,2002,5/7
293,309000, Stari Grad,Novi Sad - Centar,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",94,uknjiženo,uobičajeno stanje,useljivo,2002,prizemlje
294,247100,Novo Naselje,Novo Naselje,3,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, klima",117,uknjiženo,uobičajeno stanje,useljivo,2010,4/4
295,159650, Stari Grad,Novi Sad - Centar,3.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, klima",83,uknjiženo,uobičajeno stanje,useljivo,2000,4/4
296,157100,Sajmište,Sajmište,3,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, klima",68,uknjiženo,uobičajeno stanje,useljivo,2004,1/5
297,249950,Telep,Telep,7,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, klima",156,uknjiženo,u izgradnji,useljivo,2022,2/2
298,247400,Telep,Telep,7,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, klima",154,uknjiženo,u izgradnji,useljivo,2022,2/2
299,94500, Liman,Jožefa Marčoka,1,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, klima",34,uknjiženo,uobičajeno stanje,useljivo,2022,2/2
300,139900,Petrovaradin,Petrovaradin,4,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska, klima",71,uknjiženo,u izgradnji,useljivo,2020,3/4
301,71120,Petrovaradin,Petrovaradin,2,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska, klima",35,uknjiženo,u izgradnji,useljivo,2020,3/4
302,46400,Telep,Mornarska,0.5,etažno grejanje,namešteno,ima lift (1),"telefon, kablovska, klima",23,uknjiženo,uobičajeno stanje,useljivo,2020,3/4
303,77250,Novo Naselje,Mileve Marić,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, klima",55,uknjiženo,uobičajeno stanje,useljivo,2020,3/4
304,110700, Adamovićevo Naselje,Cara Dušana,2,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, klima",43,uknjiženo,renovirano,useljivo,2020,prizemlje/4
305,103000,Rotkvarija,Vuka Karadžića,2,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, klima",44,uknjiženo,renovirano,useljivo,2020,prizemlje/4
306,51150,Petrovaradin,Petrovaradin,0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, klima",31,uknjiženo,u izgradnji,useljivo,2020,3/3
307,105600, Stari Grad,Novi Sad - Centar,2,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, klima",57,uknjiženo,u izgradnji,useljivo,2020,1/5
308,57000,Telep,Telep,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, klima",39,uknjiženo,uobičajeno stanje,useljivo,2011,3/3
309,127300,Stari Grad,Stari Grad,4,centralno grejanje,prazno,ima lift (1),"telefon, interfon, klima",103,uknjiženo,uobičajeno stanje,useljivo,2003,4/4
310,87550,Grbavica,Grbavica,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",50,uknjiženo,uobičajeno stanje,useljivo,2002,6/7
311,273156,Grbavica,Grbavica,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",156,uknjiženo,novo,useljivo,2002,6/6
312,77250, Detelinara,Nova Detelinara,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",72,uknjiženo,novo,useljivo,2004,6/6
313,113300,Bulevar Evrope,Bulevar Evrope,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",69,uknjiženo,novo,useljivo,2010,1/5
314,72100,Stari Grad,Stari Grad,1.5,centralno grejanje,prazno,ima lift (1),"telefon, klima",39,uknjiženo,uobičajeno stanje,useljivo,2010,prizemlje
315,100940,Salajka,Salajka,3,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",57,nije uknjiženo,novo,useljivo,2008,1/4
316,59740,Novo Naselje,Novo Naselje,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",36,uknjiženo,uobičajeno stanje,useljivo,2008,4/4
317,123600, Detelinara,Nova Detelinara,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, interfon, klima",74,uknjiženo,novo,useljivo,2007,5/5
318,132613,Podbara,Podbara,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",99,uknjiženo,novo,useljivo,2007,4/5
319,67570,Sajmište,Sajmište,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",41,uknjiženo,uobičajeno stanje,useljivo,2005,6/7
320,64890,Podbara,Podbara,1.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",46,uknjiženo,uobičajeno stanje,useljivo,2013,5/5
321,74160,Sajmište,Sajmište,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon",48,nije uknjiženo,novo,useljivo,1990,3/3
322,36050,Novo Naselje,Novo Naselje,1,grejanje na struju,prazno,ima lift (1),telefon,27,uknjiženo,uobičajeno stanje,useljivo,1990,prizemlje/2
323,111250, Banatić,Železnička stanica,3,grejanje na struju,prazno,ima lift (1),telefon,72,uknjiženo,uobičajeno stanje,useljivo,1970,7/7
324,128750, Stari Grad,Novi Sad - Centar,3,centralno grejanje,prazno,ima lift (1),"telefon, interfon, klima",76,uknjiženo,uobičajeno stanje,useljivo,1970,4/4
325,168100,Adamovićevo Naselje,Adamovićevo Naselje,4,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",102,uknjiženo,novo,useljivo,2007,5/5
326,106605, Stari Grad,Novi Sad - Centar,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon",69,uknjiženo,uobičajeno stanje,useljivo,1997,3/3
327,126975,Petrovaradin,Petrovaradin,3.5,centralno grejanje,prazno,ima lift (1),telefon,96,nije uknjiženo,u izgradnji,useljivo,2021,potkrovlje/2
328,110000, Stari Grad,Novi Sad - Centar,2,centralno grejanje,prazno,ima lift (1),telefon,69,uknjiženo,u izgradnji,useljivo,2006,2/3
329,109000,Sajmište,Sajmište,2.5,centralno grejanje,prazno,ima lift (1),telefon,59,uknjiženo,uobičajeno stanje,useljivo,2007,1/6
330,84500, Detelinara,Nova Detelinara,2,centralno grejanje,prazno,ima lift (1),kablovska,42,uknjiženo,uobičajeno stanje,useljivo,2005,4/6
331,51500, Telep,Bulevar Patrijarha Pavla (Somborski Bulevar),0.5,centralno grejanje,prazno,ima lift (1),kablovska,49,uknjiženo,uobičajeno stanje,useljivo,2017,prizemlje/4
332,56700, Detelinara,Nova Detelinara,1,centralno grejanje,prazno,ima lift (1),kablovska,27,uknjiženo,uobičajeno stanje,useljivo,2005,1/4
333,235930,Bulevar Evrope,Bulevar Evrope,4,centralno grejanje,prazno,ima lift (1),kablovska,97,nije uknjiženo,uobičajeno stanje,useljivo,2005,visoko
334,235930,Bulevar Evrope,Bulevar Evrope,5,centralno grejanje,prazno,ima lift (1),kablovska,97,nije uknjiženo,uobičajeno stanje,useljivo,2005,2/2
335,96850,Telep,Telep,1,grejanje na gas,prazno,ima lift (1),"interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",38,nije uknjiženo,novo,useljivo,2005,1/4
336,149000, Stari Grad,Novi Sad - Centar,2,centralno grejanje,prazno,ima lift (1),"interfon, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",50,nije uknjiženo,novo,useljivo,2005,2/6
337,187000, Telep,Bulevar Patrijarha Pavla (Somborski Bulevar),6,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon",156,uknjiženo,novo,useljivo,2020,4/5
338,417000, Stari Grad,Novi Sad - Centar,5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, video nadzor, interfon, klima",160,uknjiženo,novo,useljivo,2020,1.
339,150000,Grbavica,Grbavica,2,centralno grejanje,namešteno,ima lift (1),"internet, video nadzor, interfon, klima",54,uknjiženo,novo,useljivo,2020,4/5
340,93750, Detelinara,Janka Čmelika,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",51,uknjiženo,novo,useljivo,2020,1/5
341,141110,Novo Naselje,Novo Naselje,3.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",91,uknjiženo,uobičajeno stanje,useljivo,1996,visoko
342,55200,Petrovaradin,Petrovaradin,0.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",27,uknjiženo,u izgradnji,useljivo,2020,3/4
343,112000,Petrovaradin,Petrovaradin,3,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",57,uknjiženo,u izgradnji,useljivo,2020,3/4
344,114000,Bulevar Evrope,Bulevar Evrope,2,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",50,uknjiženo,uobičajeno stanje,useljivo,2020,visoko
345,98600, Rotkvarija,Socijalno,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",58,uknjiženo,uobičajeno stanje,useljivo,2020,5/6
346,80800,Petrovaradin,Petrovaradin,2,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",40,uknjiženo,u izgradnji,useljivo,2020,2/4
347,54350,Petrovaradin,Petrovaradin,0.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",27,uknjiženo,u izgradnji,useljivo,2020,2/4
348,55200,Petrovaradin,Petrovaradin,0.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",27,uknjiženo,u izgradnji,useljivo,2020,2/4
349,112000,Petrovaradin,Petrovaradin,3,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",57,uknjiženo,u izgradnji,useljivo,2020,2/4
350,139900,Petrovaradin,Petrovaradin,4,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",71,uknjiženo,u izgradnji,useljivo,2020,2/4
351,71120,Petrovaradin,Petrovaradin,2,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",35,uknjiženo,u izgradnji,useljivo,2020,2/4
352,146050,Petrovaradin,Petrovaradin,4,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",74,uknjiženo,u izgradnji,useljivo,2020,2/4
353,70500,Petrovaradin,Petrovaradin,2,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",35,uknjiženo,u izgradnji,useljivo,2020,3/4
354,80350,Petrovaradin,Petrovaradin,2,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",40,uknjiženo,u izgradnji,useljivo,2020,3/4
355,129800,Petrovaradin,Petrovaradin,3,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",64,uknjiženo,u izgradnji,useljivo,2020,3/4
356,54350,Petrovaradin,Petrovaradin,0.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",27,uknjiženo,u izgradnji,useljivo,2020,3/4
357,120700, Rotkvarija,Socijalno,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",71,uknjiženo,u izgradnji,useljivo,2020,5/5
358,215270,Grbavica,Grbavica,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",106,uknjiženo,u izgradnji,useljivo,2020,2/5
359,153985,Novo Naselje,Dušana Danilovića,3,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",62,uknjiženo,uobičajeno stanje,useljivo,2020,4/4
360,80430,Adice,Adice,2.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",49,uknjiženo,u izgradnji,useljivo,2020,2/2
361,51500,Bulevar Oslobođenja,Bulevar Oslobođenja,1.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",35,uknjiženo,uobičajeno stanje,useljivo,2020,suteren/5
362,340000, Stari Grad,Novi Sad - Centar,4,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",136,uknjiženo,uobičajeno stanje,useljivo,1930,4/5
363,262000,Novo Naselje,Novo Naselje,4,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",127,uknjiženo,u izgradnji,useljivo,1930,1/2
364,144000, Liman,Liman 3,3,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",77,uknjiženo,uobičajeno stanje,useljivo,1975,4/8
365,295000,Telep,Telep,3.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",99,uknjiženo,u izgradnji,useljivo,2022,2/2
366,154500,Bulevar Oslobođenja,Bulevar Oslobođenja,4.5,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",80,uknjiženo,u izgradnji,useljivo,2022,6/7
367,550000,Bulevar Oslobođenja,Bulevar Oslobođenja,7,podno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",204,u procesu uknjižavanja,u izgradnji,useljivo,2021,2/2
368,309000,Bulevar Oslobođenja,Bulevar Oslobođenja,4,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",202,uknjiženo,u izgradnji,useljivo,2008,3/4
369,190550, Stari Grad,Maksima Gorkog,4,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",86,uknjiženo,u izgradnji,useljivo,2008,3/3
370,71070, Detelinara,"NOVA DETELINARA, NOVI SAD",1,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",24,uknjiženo,u izgradnji,useljivo,2008,3/6
371,177200, Stari Grad,Kej,3,centralno grejanje,namešteno,ima lift (1),"frižider, šporet, ležaj",86,uknjiženo,u izgradnji,useljivo,2008,3/6
372,249260,Petrovaradin,Petrovaradin,4,podno grejanje,namešteno,ima lift (1),"frižider, šporet, ležaj",106,uknjiženo,u izgradnji,useljivo,2021,prizemlje/2
373,128750, Stari Grad,Novi Sad - Centar,3,centralno grejanje,namešteno,ima lift (1),"frižider, šporet, ležaj",76,uknjiženo,u izgradnji,useljivo,2008,3/4
374,92700,Avijatičarsko Naselje,Avijatičarsko Naselje,3.5,grejanje na gas,namešteno,ima lift (1),"frižider, šporet, ležaj",90,uknjiženo,u izgradnji,useljivo,2010,2/2
375,168720,Klisa,Vase Ostojića,4,grejanje na gas,namešteno,ima lift (1),"frižider, šporet, ležaj",117,uknjiženo,u izgradnji,useljivo,2013,visoko
376,56650,Novo Naselje,Novo Naselje,1,centralno grejanje,prazno,ima lift (1),"frižider, šporet, ležaj",28,uknjiženo,u izgradnji,useljivo,1993,3/4
377,91650,Telep,Telep,1.5,TA peć,prazno,ima lift (1),"frižider, šporet, ležaj",42,uknjiženo,u izgradnji,useljivo,2008,1/3
378,180360,Salajka,Salajka,3.5,grejanje na gas,namešteno,ima lift (1),"TV, klima, kuhinjski elementi, ležaj, plakar, ugradni plakar",89,uknjiženo,novo,useljivo,2008,4/5
379,75000, Stari Grad,Vuka Karadžića,0.5,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",25,uknjiženo,uobičajeno stanje,useljivo,2000,3/4
380,463500, Adamovićevo Naselje,Cara Dušana,4,centralno grejanje,namešteno,ima lift (2),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",134,uknjiženo,luksuzno,useljivo,2010,6/6
381,127720,Bulevar Oslobođenja,Bulevar Oslobođenja,2.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",48,uknjiženo,luksuzno,useljivo,2010,2/6
382,154500,Bulevar Oslobođenja,Bulevar Oslobođenja,3,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",68,uknjiženo,luksuzno,useljivo,2010,1/5
383,166040, Rotkvarija,Socijalno,4,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",62,uknjiženo,luksuzno,useljivo,2010,3/5
384,418000, Sajmište,Jodna Banja,4,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",143,uknjiženo,uobičajeno stanje,useljivo,2010,1/3
385,164440,Grbavica,Grbavica,4,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",72,uknjiženo,uobičajeno stanje,useljivo,2010,6/6
386,96300,Avijatičarsko Naselje,Avijatičarsko Naselje,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",60,uknjiženo,uobičajeno stanje,useljivo,2021,5/5
387,106000, Rotkvarija,Socijalno,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",45,uknjiženo,uobičajeno stanje,useljivo,2021,1/4
388,294810, Telep,Južni Telep,5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, veš mašina, kuhinjski elementi, frižider, zamrzivač, rerna, šporet, ležaj, plakar",130,nije uknjiženo,u izgradnji,useljivo,2021,4/4
389,92700, Adamovićevo Naselje,Cara Dušana,1.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",40,uknjiženo,u izgradnji,useljivo,2021,2/3
390,85000, Detelinara,Nova Detelinara,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",38,uknjiženo,novo,useljivo,2021,4/5
391,309000, Telep,Južni Telep,4,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska",96,uknjiženo,novo,useljivo,2021,4/5
392,180360,Salajka,Salajka,3.5,grejanje na gas,namešteno,ima lift (1),"TV, klima, veš mašina, kuhinjski elementi, frižider, rerna, šporet",89,uknjiženo,novo,useljivo,2020,4/4
393,126700,Adamovićevo Naselje,Adamovićevo Naselje,3,centralno grejanje,polunamešteno,ima lift (1),"interfon, klima",87,uknjiženo,renovirano,useljivo,2020,3/3
394,85000, Detelinara,Nova Detelinara,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",38,uknjiženo,renovirano,useljivo,2020,4/5
395,46350,Telep,Telep,0.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",23,uknjiženo,uobičajeno stanje,useljivo,2006,prizemlje/3
396,180360,Salajka,Salajka,3.5,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska",89,uknjiženo,novo,useljivo,2006,4/5
397,493740, Banatić,Železnička stanica,4,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",150,uknjiženo,novo,useljivo,2020,1/3
398,79850, Novo Naselje,Šarengrad,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",42,uknjiženo,novo,useljivo,1992,1/6
399,69000, Detelinara,Nova Detelinara,0.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",24,uknjiženo,novo,useljivo,2008,3/5
400,85000, Detelinara,Nova Detelinara,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",38,uknjiženo,novo,useljivo,2008,4/5
401,80000,Grbavica,MISE DIMITRIJEVICA,1,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",35,uknjiženo,novo,useljivo,2008,4/5
402,44500, Stari Grad,Novi Sad - Centar,1.5,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",36,uknjiženo,uobičajeno stanje,useljivo,1900,suteren/4
403,133900, Adamovićevo Naselje,Cara Dušana,2,centralno grejanje,namešteno,ima lift (1),"telefon, kablovska",41,uknjiženo,novo,useljivo,1900,6/7
404,113300,Novo Naselje,Novo Naselje,3,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska",73,uknjiženo,uobičajeno stanje,useljivo,1900,2/5
405,85450,Stari Grad,Stari Grad,1.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska",31,uknjiženo,uobičajeno stanje,useljivo,1900,visoko
406,309000,Telep,Telep,4,grejanje na gas,namešteno,ima lift (1),"telefon, kablovska",96,uknjiženo,novo,useljivo,1900,3/3
407,216290,Grbavica,Grbavica,4,centralno grejanje,polunamešteno,ima lift (1),"interfon, klima",106,uknjiženo,renovirano,useljivo,1900,2/5
408,94760,Grbavica,Danila Kiša,0.5,centralno grejanje,polunamešteno,ima lift (1),"interfon, klima",37,uknjiženo,uobičajeno stanje,useljivo,1900,2/5
409,164800, Podbara,Stevana Milovanova,2.5,centralno grejanje,prazno,ima lift (1),klima,72,uknjiženo,renovirano,useljivo,1900,1/5
410,152300,Telep,Telep,2.5,grejanje na gas,prazno,ima lift (1),klima,87,uknjiženo,renovirano,useljivo,1900,2/3
411,55600,Podbara,Tekelijina,2,grejanje na struju,prazno,ima lift (1),klima,37,u procesu uknjižavanja,renovirano,useljivo,1900,2/3
412,159650,Adamovićevo Naselje,Adamovićevo Naselje,2,grejanje na struju,prazno,ima lift (1),klima,57,uknjiženo,u izgradnji,useljivo,1900,5/6
413,73130, Detelinara,Nova Detelinara,1,grejanje na struju,prazno,ima lift (1),klima,29,uknjiženo,uobičajeno stanje,useljivo,2006,visoko
414,247200, Petrovaradin,Petrovaradinsko Podgrađe - Gradić,5,grejanje na struju,prazno,ima lift (1),klima,97,uknjiženo,uobičajeno stanje,useljivo,1910,visoko
415,46350,Futoški Put,Futoški Put,1.5,grejanje na struju,prazno,ima lift (1),klima,30,uknjiženo,u izgradnji,useljivo,1910,suteren/6
416,92700, Novo Naselje,Bistrica,2,grejanje na struju,prazno,ima lift (1),klima,55,uknjiženo,uobičajeno stanje,useljivo,1981,3/5
417,46500,Bulevar Oslobođenja,Bulevar Oslobođenja,0.5,grejanje na struju,prazno,ima lift (1),klima,30,uknjiženo,uobičajeno stanje,useljivo,2008,suteren/4
418,133900, Adamovićevo Naselje,Cara Dušana,2,centralno grejanje,namešteno,ima lift (1),klima,41,uknjiženo,novo,useljivo,2008,6/7
419,169950, Telep,Telep,4.5,grejanje na gas,prazno,ima lift (1),klima,75,u procesu uknjižavanja,u izgradnji,useljivo,2008,1/3
420,56650, Detelinara,Nova Detelinara,0.5,centralno grejanje,prazno,ima lift (1),klima,26,u procesu uknjižavanja,u izgradnji,useljivo,2014,5/5
421,90650,Petrovaradin,Petrovaradin,2,grejanje na gas,prazno,ima lift (1),klima,53,u procesu uknjižavanja,u izgradnji,useljivo,2021,1/2
422,59200, Stari Grad,Riblja Pijaca,0.5,centralno grejanje,prazno,ima lift (1),klima,24,u procesu uknjižavanja,u izgradnji,useljivo,2007,5/5
423,166000, Banatić,Železnička stanica,2.5,centralno grejanje,prazno,ima lift (1),klima,62,u procesu uknjižavanja,u izgradnji,useljivo,2012,3/5
424,144200, Novo Naselje,Bistrica,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",109,uknjiženo,renovirano,useljivo,2012,4/5
425,418000,Sajmište,"SAJAM, NOVI SAD",4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska",143,uknjiženo,uobičajeno stanje,useljivo,2007,1/3
426,72900,Adice,Adice,2,podno grejanje,prazno,ima lift (1),"telefon, kablovska",43,nije uknjiženo,u izgradnji,useljivo,2007,1/2
427,114450,Petrovaradin,Petrovaradin,4,podno grejanje,prazno,ima lift (1),"telefon, kablovska",88,uknjiženo,u izgradnji,useljivo,2007,3/3
428,95000, Banatić,Železnička stanica,2,podno grejanje,prazno,ima lift (1),"telefon, kablovska",48,uknjiženo,uobičajeno stanje,useljivo,1972,visoko
429,309000,Telep,Telep,4,grejanje na gas,polunamešteno,ima lift (1),klima,96,uknjiženo,novo,useljivo,1972,3/3
430,85850,Adice,Adice,2.5,grejanje na gas,polunamešteno,ima lift (1),klima,51,nije uknjiženo,u izgradnji,useljivo,1972,2/2
431,57000, Detelinara,Nova Detelinara,0.5,centralno grejanje,polunamešteno,ima lift (1),klima,23,uknjiženo,uobičajeno stanje,useljivo,2000,5/5
432,66950, Detelinara,Nova Detelinara,0.5,centralno grejanje,polunamešteno,ima lift (1),klima,25,uknjiženo,uobičajeno stanje,useljivo,2006,visoko
433,84050, Stari Grad,Novi Sad - Centar,1.5,centralno grejanje,namešteno,ima lift (1),klima,48,uknjiženo,uobičajeno stanje,useljivo,2006,6/6
434,51500, Rotkvarija,Socijalno,0.5,centralno grejanje,prazno,ima lift (1),"kablovska, internet",26,uknjiženo,uobičajeno stanje,useljivo,2006,visoko
435,139050,Bulevar Oslobođenja,Bulevar Oslobođenja,3,centralno grejanje,prazno,ima lift (1),"kablovska, internet, klima",75,uknjiženo,renovirano,useljivo,1970,3/4
436,82400,Grbavica,Grbavica,2,centralno grejanje,prazno,ima lift (1),"kablovska, internet, klima",52,uknjiženo,renovirano,useljivo,1970,4/5
437,82400, Rotkvarija,Socijalno,1,grejanje na gas,prazno,ima lift (1),"kablovska, internet, klima",38,uknjiženo,renovirano,useljivo,1999,4/4
438,105000, Sajmište,Toplice milana 19,2.5,centralno grejanje,polunamešteno,ima lift (1),"telefon, kablovska",60,uknjiženo,renovirano,useljivo,2000,visoko
439,64210,Adice,Adice,1.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska",38,nije uknjiženo,u izgradnji,useljivo,2000,prizemlje/2
440,133800, Detelinara,Nova Detelinara,3,podno grejanje,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",64,nije uknjiženo,renovirano,useljivo,2000,visoko
441,309000,Telep,Telep,4,grejanje na gas,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",96,uknjiženo,novo,useljivo,2000,3/3
442,72100, Stari Grad,"CENTAR, NOVI SAD",4,centralno grejanje,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",23,uknjiženo,novo,useljivo,2000,1/5
443,122550,Novo Naselje,BUL.VOJVODE STEPE,3,centralno grejanje,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",65,uknjiženo,novo,useljivo,2000,1/5
444,90130, Stari Grad,Riblja Pijaca,1.5,centralno grejanje,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",35,uknjiženo,novo,useljivo,1965,1/5
445,125000, Stari Grad,"CENTAR, NOVI SAD",2,grejanje na gas,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",49,uknjiženo,u izgradnji,useljivo,1965,1/4
446,123500, Stari Grad,"CENTAR, NOVI SAD",2.5,grejanje na gas,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",48,uknjiženo,u izgradnji,useljivo,1965,3/4
447,188000, Stari Grad,"CENTAR, NOVI SAD",3,grejanje na gas,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",73,uknjiženo,u izgradnji,useljivo,1965,4/4
448,147300, Stari Grad,"CENTAR, NOVI SAD",2.5,grejanje na gas,namešteno,ima lift (1),"video nadzor, TV, klima, veš mašina, sudo mašina, frižider, šporet, ležaj",57,uknjiženo,u izgradnji,useljivo,1965,3/4
